onet_soc_code,canonical_title,normalized_canonical_title,matched_target_families,alternate_title_count,knowledge_count,technology_example_count,sample_alternate_titles,sample_top_knowledge,sample_top_technology_examples
19-3099.00,"Social Scientists and Related Workers, All Other",social scientists and related workers all other,data_science,31,0,0,Behavioral Scientist | Computational Linguist | Demographer | Developmental Psychologist | Director of Research | Ethnologist | Etymologist | Experimental Psychologist,,
19-3099.01,Transportation Planners,transportation planners,,18,4,15,Airway Transportation Systems Specialist (ATSS) | Fleet Coordinator | Planner | Program Officer | Traffic Analyst | Transit Planner | Transportation Analyst | Transportation Consultant,mathematics | computers and electronics | engineering and technology | telecommunications,esri arcgis software | microsoft access | microsoft excel | microsoft power bi | python | structured query language sql | tableau | adobe acrobat
19-4012.00,Agricultural Technicians,agricultural technicians,,54,4,11,Acidity Tester | Agricultural Assistant | Agricultural Equipment Technician | Agricultural Research Technician (Agricultural Research Tech) | Agricultural Research Technologist | Agricultural Service Technician | Agricultural Specialist | Agricultural Technician (Agricultural Tech),mathematics | engineering and technology | computers and electronics | telecommunications,microsoft excel | microsoft access | sap software | desktop publishing software | email software | geographic information system gis systems | global positioning system gps software | spreadsheet software
19-4012.01,Precision Agriculture Technicians,precision agriculture technicians,,22,4,15,Agriculture Specialist | Agriculture Technician (Agriculture Tech) | Agrintelligence Specialist (Agriculture Intelligence Specialist) | Agronomist | Agronomy Consultant | Agronomy Specialist | Certified Crop Specialist | Crop Consultant,computers and electronics | mathematics | engineering and technology | telecommunications,microsoft excel | esri arcgis software | microsoft access | microsoft windows | ag leader technology sms advanced | agco gta software suite | esri arcpad | esri arcview
19-4013.00,Food Science Technicians,food science technicians,,45,4,15,Beer Brewer | Biotechnician | Bottle House QC Technician (Bottle House Quality Control Technician) | Butter Fat Tester | Central Laboratory Technician (CLT) | Cheese Tester | Cream Tester | Dairy Laboratory Technician (Dairy Lab Tech),computers and electronics | mathematics | engineering and technology | telecommunications,microsoft excel | linux | microsoft access | microsoft sql server | microsoft visio | sap software | sas | apache jmeter
19-4021.00,Biological Technicians,biological technicians,,58,4,15,Aquatic Technician (Aquatic Tech) | Aquatics Technician | Artificial Breeding Laboratory Technician (Artificial Breeding Lab Tech) | Artificial Breeding Technician | Artificial Inseminator | Babcock Tester | Bacteriology Research Assistant | Bacteriology Technician,mathematics | computers and electronics | engineering and technology | telecommunications,microsoft excel | microsoft net framework | adobe acrobat | adobe photoshop | esri arcgis software | microsoft access | microsoft project | sas
19-4031.00,Chemical Technicians,chemical technicians,,92,4,15,Analysis Tester | Analytical Laboratory Technician (Analytical Lab Technician) | Analytical Technician | Assayer | Bleach Analyst | Chemical Analyst | Chemical Analytical Sampler | Chemical Dependency Technician (Chemical Dependency Tech),mathematics | computers and electronics | engineering and technology | telecommunications,microsoft excel | c++ | linux | microsoft access | oracle database | oracle java | python | r
19-4042.00,"Environmental Science and Protection Technicians, Including Health",environmental science and protection technicians including health,,76,4,15,Air Analyst | Air Pollution Auditor | Air Quality Technician (Air Quality Tech) | Analytical Lab Tech (Analytical Laboratory Technician) | Asbestos Abatement Technician (Asbestos Abatement Tech) | Asbestos Microscopist | Biological Lab Tech (Biological Laboratory Technician) | Biotechnician,computers and electronics | mathematics | engineering and technology | telecommunications,microsoft excel | adobe acrobat | autodesk autocad | esri arcgis software | microsoft access | microsoft project | sap software | autodesk softdesk
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",geological technicians except hydrologic technicians,,122,4,15,Acid Tester | Chalk Tester | Construction Material Technician | Construction Materials Field Technician (Construction Materials Field Tech) | Construction Materials Technician (Construction Materials Tech) | Construction Materials Testing Technician (Construction Materials Testing Tech) | Core Inspector | Crude Tester,computers and electronics | engineering and technology | mathematics | telecommunications,microsoft excel | adobe illustrator | autodesk autocad | esri arcgis software | microsoft access | sap software | clark labs idrisi andes | corel coreldraw graphics suite
19-4044.00,Hydrologic Technicians,hydrologic technicians,,8,0,15,Field Technician (Field Tech) | GIS Technician (Geographic Information System Technician) | Groundwater Monitoring Technician | Hydro Operator | Hydrographer | Hydrography Technician | Hydrologic Aid | Hydrologic Technician,,microsoft excel | adobe acrobat | esri arcgis software | microsoft access | microsoft active server pages asp | microsoft windows | geographic information system gis systems | datasurge geopro
19-4051.00,Nuclear Technicians,nuclear technicians,,35,4,12,Accelerator Operator | Accelerator Technician | Auxiliary Operator | Cell Support Operator | Electric Systems Operator | Energy Systems Operator | Equipment Operation Instructor | Equipment Operator,engineering and technology | computers and electronics | mathematics | telecommunications,linux | microsoft access | microsoft excel | microsoft windows | structured query language sql | data logging software | database software | spreadsheet software
19-4051.02,Nuclear Monitoring Technicians,nuclear monitoring technicians,,23,4,14,Cathodic Protection Technician | Chemical Radiation Technician | Decontaminator | Health Physics Technician (HP Tech) | Instrumentation Control Specialist | Laboratory Control Specialist | Metallographic Technician | Nuclear Chemistry Technician,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | microsoft azure software | microsoft windows | microsoft windows server | oracle java | structured query language sql | aveva intouch hmi | connectivity software
19-4061.00,Social Science Research Assistants,social science research assistants,"analytics,data_science",28,4,15,Bilingual Research Interviewer | Clinical Research Assistant | Data Analyst | Economic Research Assistant | Economist Research Assistant | Graduate Assistant | Graduate Research Assistant | Historian Research Assistant,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | python | r | adobe illustrator | adobe indesign | c++ | esri arcgis software | extensible markup language xml
19-4071.00,Forest and Conservation Technicians,forest and conservation technicians,,20,4,15,Biological Science Aide | Conservation Agent | Conservation Officer | Conservation Technician | Field Technician (Field Tech) | Forest Technician | Forester Aide | Forestry Aid Technician,mathematics | computers and electronics | telecommunications | engineering and technology,esri arcgis software | facebook | microsoft access | microsoft active server pages asp | microsoft excel | geographic information system gis systems | allegro landmark | assisi compiler
19-4092.00,Forensic Science Technicians,forensic science technicians,,50,4,15,Ballistician | Ballistics Technician (Ballistics Tech) | Biometric Fingerprint Technician (Biometric Fingerprint Tech) | Biometric Fingerprinting Technician (Biometric Fingerprinting Tech) | Biometrician | Blood Splatter Analyst | CSI (Crime Scene Investigator) | Computer Forensics Technician (Computer Forensics Tech),computers and electronics | telecommunications | mathematics | engineering and technology,microsoft excel | adobe photoshop | linux | microsoft access | microsoft visio | guidance software encase enterprise | automated biometric identification system abis | combined dna index system codis
19-4099.00,"Life, Physical, and Social Science Technicians, All Other",life physical and social science technicians all other,,45,0,0,Assistant Oceanographer | Biomedical Instrument Technician | City Planning Aide | Colorist | Data Reduction Technician | Excavator | Gamma Facilities Operator | Gamma Ray Operator,,
19-4099.01,Quality Control Analysts,quality control analysts,,41,4,15,Chemistry Quality Control Analyst (Chemistry QC Analyst) | Chemistry Quality Control Technician (Chemistry QC Technician) | Data Quality Analyst | IT Quality Control Analyst (Information Technology Quality Control Analyst) | Lab Analyst | Lab Technician (Lab Tech) | Laboratory Analyst | Laboratory Technician (Lab Tech),mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | sap software | adobe acrobat | atlassian jira | c | extensible markup language xml | hypertext markup language html | javascript
19-4099.03,Remote Sensing Technicians,remote sensing technicians,,43,4,15,Commercial Drone Operator | Commercial Drone Pilot | Commercial Drone Technician | Digital Cartographic Technician | Document Image Technician | Drone Operator | Drone Pilot | Drone Technician,computers and electronics | mathematics | engineering and technology | telecommunications,c | c++ | esri arcgis software | microsoft excel | python | r | the mathworks matlab | adobe creative cloud software
19-5011.00,Occupational Health and Safety Specialists,occupational health and safety specialists,,72,4,15,Analysis Safety Inspector | Cause Analyst | Certified Indoor Environmentalist | Certified Industrial Hygienist (CIH) | Chemical Hygiene Officer | Construction Safety Manager | Consumer Safety Inspector | Dining Service Inspector,mathematics | engineering and technology | computers and electronics | telecommunications,microsoft excel | microsoft access | microsoft active server pages asp | microsoft project | microsoft sharepoint | microsoft windows | sap software | curtis management resources training management system
19-5012.00,Occupational Health and Safety Technicians,occupational health and safety technicians,,35,4,15,"Advisory Industrial Hygienist | Certified Industrial Hygienist (CIH) | Construction Health and Safety Technician (CHST) | Construction Safety Consultant | Consumer Safety Technician (Consumer Safety Tech) | EHS Advisor (Environmental, Health, and Safety Advisor) | EHS Coordinator (Environmental Health and Safety Coordinator) | Environmental Health Technologist",engineering and technology | mathematics | computers and electronics | telecommunications,microsoft excel | microsoft access | microsoft sharepoint | sap software | brady lockout pro | database software | email software | graphics software
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,substance abuse and behavioral disorder counselors,,57,4,15,Addiction Counselor | Addiction Recovery Specialist | Addiction Therapist | Addictions Counselor | Alcohol and Drug Counselor | Alcoholic Counselor | Alcoholism and Substance Abuse Counselor | Assessment Specialist,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | acms casewatch millenium | addison health systems writepad ehr | allscripts canopy | anasazi software assessment and treatment plan systems | athena software penelope case management | cadence solutions extendedreach | case management software
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",educational guidance and career counselors and advisors,,78,4,15,Academic Advisor | Academic Counselor | Admissions Counselor | Adult School Counselor | Advisor | Articulation Officer | Assessment Specialist | Career Advisor,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | adobe photoshop | facebook | google docs | microsoft access | microsoft project | microsoft sharepoint | microsoft sql server reporting services ssrs
21-1013.00,Marriage and Family Therapists,marriage and family therapists,,38,4,15,ABA Behavior Therapist (Applied Behavior Analysis Behavior Therapist) | Behavior Intervention Specialist | Behavior Specialist | Behavior Support Specialist | Behavior Technician (Behavior Tech) | Behavior Therapist | Behavioral Analyst | Behavioral Health Clinician,computers and electronics | telecommunications | mathematics | engineering and technology,intuit quickbooks | microsoft access | microsoft excel | microsoft teams | zoom | advantage software psych advantage | american medical billing software pma | anasazi software client data system
21-1014.00,Mental Health Counselors,mental health counselors,,36,4,15,BSS (Behavior Support Specialist) | Behavior Analyst | Behavioral Health Clinician | Behavioral Health Consultant | Behavioral Health Counselor | Behavioral Health Therapist | Bereavement Counselor | Case Manager,telecommunications | computers and electronics | mathematics | engineering and technology,microsoft access | microsoft excel | oracle peoplesoft | client information database systems | database software | email software | google classroom | management information systems mis
21-1015.00,Rehabilitation Counselors,rehabilitation counselors,,63,4,15,Blind Rehabilitation Specialist | Care Navigator | Career Navigator | Certified Rehabilitation Counselor | Classification Counselor | Client Navigator | Client Trainer | Counseling Psychologist,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | adobe acrobat reader | budgeting software | chart links | client information database software | data input software | electronic medical record emr software | email software
21-1019.00,"Counselors, All Other",counselors all other,,60,0,0,AIDS Counselor | Adoption Counselor | Anger Control Counselor | Behavior Specialist | Business Representative | Career Development Specialist | Career Manager | Career Specialist,,
21-1021.00,"Child, Family, and School Social Workers",child family and school social workers,,71,4,6,Adolescent Counselor | Adoption Agent | Adoption Coordinator | Adoption Counselor | Adoption Social Worker | Adoption Specialist | Adoption Worker | Case Manager,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | microsoft access | easycbm | patient electronic medical record emr software | student information systems sis software | web browser software
21-1022.00,Healthcare Social Workers,healthcare social workers,,53,4,15,AIDS Social Worker | Bereavement Counselor | Case Manager | Case Worker | Caseworker | Certified Health Care Social Worker | Certified Social Worker in Health Care (C-SWHC) | Client Advocate,computers and electronics | telecommunications | mathematics | engineering and technology,microsoft teams | zoom | meditech software | microsoft excel | google meet | adobe pagemaker | automated clinical information systems | calendar software
21-1023.00,Mental Health and Substance Abuse Social Workers,mental health and substance abuse social workers,,55,4,15,Addictions Counselor | Alcoholism Worker | Assessment Specialist | BHC (Behavioral Health Consultant) | Behavior Specialist | Behavioral Case Manager | Behavioral Clinician | Behavioral Health Care Manager (BHCM),computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | adobe acrobat | microsoft sharepoint | adobe pagemaker | client records software | corel wordperfect office suite | database software | email software
21-1029.00,"Social Workers, All Other",social workers all other,,77,0,0,Adult Protective Services Social Worker | Case Consultant | Case Investigator | Case Manager | Case Reviewer | Case Supervisor | Case Worker | Children's Counselor,,
21-1091.00,Health Education Specialists,health education specialists,,51,4,15,BLS Instructor (Basic Life Support Instructor) | Behavioral Health Educator | Breastfeeding Educator | Breastfeeding Peer Counselor | CPR Instructor (Cardiopulmonary Resuscitation Instructor) | CPR and First Aid Instructor (Cardiopulmonary Resuscitation and First Aid Instructor) | Certified Breastfeeding Educator (CBE) | Certified Diabetes Educator,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | adobe photoshop | facebook | meditech software | microsoft access | microsoft visio | blackbaud the raiser s edge | blackboard software
21-1092.00,Probation Officers and Correctional Treatment Specialists,probation officers and correctional treatment specialists,,55,4,15,Adult Probation Officer | Adult Probation and Parole Officer | Attendance Officer | Community Corrections Specialist | Community Supervision Officer | Correctional Case Manager | Correctional Casework Specialist | Correctional Counselor,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | facebook | microsoft access | appointment scheduling software | case management software | corel wordperfect office suite | court records databases | customer relationship management crm software
21-1093.00,Social and Human Service Assistants,social and human service assistants,,59,4,9,Addictions Counselor Assistant | Advocate | Case Aide | Case Management Assistant | Case Management Coordinator | Case Work Aide | Certified Peer Specialist | Child Advocate,computers and electronics | mathematics | telecommunications | engineering and technology,meditech software | microsoft access | microsoft excel | database software | electronic medical record emr software | nuance dragon naturallyspeaking | pointclickcare healthcare software | web browser software
21-1094.00,Community Health Workers,community health workers,,44,4,10,Apprise Counselor | Behavioral Health Advocate | Behavioral Health Worker (BHW) | Benefits Outreach Specialist | Community Development Coordinator | Community Health Advisor | Community Health Advocate | Community Health Agent,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | apple macos | google workspace software | microsoft access | zoom | client databases | electronic health record ehr software | microsoft publisher
21-1099.00,"Community and Social Service Specialists, All Other",community and social service specialists all other,,63,0,0,Activist | Business Representative | Case Investigator | Case Manager | Case Reviewer | Case Supervisor | Case Worker | Children's Counselor,,
21-2011.00,Clergy,clergy,,56,4,8,Administrator Pastor | Bishop | Brother | Campus Minister | Campus Pastor | Cantor | Catechist | Catholic Priest,computers and electronics | telecommunications | mathematics | engineering and technology,facebook | microsoft excel | email software | event scheduling software | groupme | membership databases | twitter | web browser software
21-2021.00,"Directors, Religious Activities and Education",directors religious activities and education,,40,4,15,Adult Ministries Director | Campus Ministries Director | Campus Ministry Director | Children and Family Ministries Director | Children and Youth Ministries Director | Children's Director | Children's Ministries Coordinator | Children's Ministries Director,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | adobe photoshop | facebook | google workspace software | microsoft access | zoom | database software | email software
21-2099.00,"Religious Workers, All Other",religious workers all other,,55,0,0,Bible Reader | Bible Teacher | Bible Worker | Buddhist Monk | Cantor | Christian Science Healer | Christian Science Nurse | Christian Science Practitioner,,
23-1011.00,Lawyers,lawyers,,92,4,15,Admiralty Lawyer | Agency Legal Counsel | Attorney | Attorney General | Attorney at Law | Barrister | Business Lawyer | Chief Counsel,computers and electronics | mathematics | telecommunications | engineering and technology,adobe acrobat | google analytics | microsoft access | microsoft excel | microsoft project | sap software | abacus data systems abacuslaw | abacusnext hotdocs
23-1012.00,Judicial Law Clerks,judicial law clerks,,27,4,15,Appellate Law Clerk | Attorney Law Clerk | Career Judicial Law Clerk | Career Law Clerk | Chancery Clerk | Court of Appeals Law Clerk | District Clerk | District Court Law Clerk,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | adobe acrobat | microsoft access | microsoft windows | thomson reuters westlaw | aderant compulaw | advanced technologies class act | american legalnet edockets
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",administrative law judges adjudicators and hearing officers,,33,4,14,Adjudications Specialist | Adjudicator | Administrative Hearing Officer | Administrative Hearings Officer | Administrative Judge | Administrative Law Judge | Appeals Examiner | Appeals Officer,computers and electronics | mathematics | telecommunications | engineering and technology,adobe acrobat | microsoft access | microsoft excel | microsoft windows | sap software | courtroom scheduling software | email software | instant messaging software
23-1022.00,"Arbitrators, Mediators, and Conciliators",arbitrators mediators and conciliators,,26,4,10,Adjudicator | Alternative Dispute Resolution Coordinator (ADR Coordinator) | Alternative Dispute Resolution Mediator (ADR Mediator) | Arbiter | Arbitration Manager | Arbitration Specialist | Arbitrator | Community Relations Representative (Community Relations Rep),computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | microsoft access | microsoft sharepoint | oracle peoplesoft | salesforce software | sap software | enterprise resource planning erp software | scheduling software
23-1023.00,"Judges, Magistrate Judges, and Magistrates",judges magistrate judges and magistrates,,43,4,13,Administrative Court Justice | Appeals Specialist | Appellate Court Judge | Appellate Immigration Judge | Ballot Processing Judge | Bankruptcy Judge | Chancery Master | Chief Judge,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | adobe acrobat | courtroom scheduling software | email software | hyland onbase enterprise content management | instant messaging software | lexisnexis | linkedin
23-2011.00,Paralegals and Legal Assistants,paralegals and legal assistants,,26,4,15,Certified Paralegal | Contract Preparer | Contracts Specialist | Corporate Legal Assistant | Corporate Paralegal | Document Processor | Estate Planning Paralegal | Family Law Paralegal,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | adobe acrobat | google docs | google workspace software | intuit quickbooks | microsoft access | microsoft project | microsoft sharepoint
23-2093.00,"Title Examiners, Abstractors, and Searchers",title examiners abstractors and searchers,,39,4,15,Abstract Clerk | Abstract Searcher | Abstract Writer | Abstractor | Advisory Title Officer | Automotive Title Clerk | Closing Specialist | Commercial Title Assistant,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | adobe acrobat | google workspace software | microsoft access | microsoft windows | salesforce software | accounting software | contact management software
23-2099.00,"Legal Support Workers, All Other",legal support workers all other,,21,0,0,Advocate | Brief Writer | Case Briefer | Closer | Contract Clerk | Escrow Closer | Escrow Officer | Friend of the Court,,
25-1011.00,"Business Teachers, Postsecondary",business teachers postsecondary,,49,4,15,Accountancy Professor | Accounting Instructor | Accounting Professor | Accounting Teacher | Adjunct Business Professor | Adjunct Instructor | Adjunct Lecturer | Advertising Teacher,mathematics | computers and electronics | engineering and technology | telecommunications,google docs | hypertext markup language html | ibm spss statistics | microsoft excel | r | sas | learning management system lms | almaris e-learning systems financial accounting tutor
25-1021.00,"Computer Science Teachers, Postsecondary",computer science teachers postsecondary,,34,4,15,Adjunct Computer Science Professor | Adjunct Instructor | Assistant Professor | Associate Professor | C++ Professor | College Faculty Member | College Professor | Computer Applications Instructor,computers and electronics | mathematics | engineering and technology | telecommunications,c++ | oracle java | python | adobe photoshop | c | c# | google docs | hypertext markup language html
25-1022.00,"Mathematical Science Teachers, Postsecondary",mathematical science teachers postsecondary,,47,4,15,Actuarial Science Professor | Actuarial Science Teacher | Adjunct Instructor | Adjunct Lecturer | Adjunct Mathematics Instructor | Adjunct Mathematics Professor (Adjunct Math Professor) | Adjunct Professor | Algebra Teacher,mathematics | computers and electronics | engineering and technology | telecommunications,google docs | microsoft access | microsoft excel | microsoft visual basic | microsoft visual basic for applications vba | sas | structured query language sql | learning management system lms
25-1031.00,"Architecture Teachers, Postsecondary",architecture teachers postsecondary,,21,4,15,Adjunct Instructor | Adjunct Professor | Architectural Design Professor | Architectural Drafting Instructor | Architecture Faculty Member | Architecture Instructor | Architecture Professor | Assistant Professor,computers and electronics | engineering and technology | mathematics | telecommunications,autodesk autocad | autodesk revit | adobe acrobat | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | microsoft excel
25-1032.00,"Engineering Teachers, Postsecondary",engineering teachers postsecondary,,73,4,15,Adjunct Engineering Instructor | Adjunct Instructor | Adjunct Professor | Aeronautical Engineering Professor | Aeronautical Engineering Teacher | Aeronautics Teacher | Agricultural Engineering Teacher | Applied Mechanics Teacher,engineering and technology | computers and electronics | mathematics | telecommunications,autodesk autocad | autodesk revit | c++ | dassault systemes solidworks | google docs | javascript | microsoft excel | microsoft project
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",agricultural sciences teachers postsecondary,,59,4,15,Adjunct Instructor | Agribusiness Instructor | Agribusiness Professor | Agricultural Economics Professor | Agricultural Education Professor | Agricultural Engineering Technology Instructor | Agricultural Science Professor | Agricultural Science Teacher,mathematics | computers and electronics | engineering and technology | telecommunications,epic systems | google docs | microsoft excel | blackboard learn | calendar and scheduling software | collaborative editing software | course management system software | data management software
25-1042.00,"Biological Science Teachers, Postsecondary",biological science teachers postsecondary,,73,4,15,Adjunct Biology Instructor | Adjunct Biology Professor | Adjunct Instructor | Algology Teacher | Anatomy Instructor | Anatomy Professor | Apiculture Teacher | Arboriculture Teacher,mathematics | computers and electronics | engineering and technology | telecommunications,google docs | ibm spss statistics | microsoft excel | microsoft windows | sas | the mathworks matlab | learning management system lms | aipotu
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",forestry and conservation science teachers postsecondary,,37,4,15,Assistant Professor | Assistant Teaching Professor | Associate Professor | Biometrics Instructor | College Faculty Member | College Professor | Conservation Biology Professor | Ecology Professor,mathematics | computers and electronics | engineering and technology | telecommunications,atlassian jira | esri arcgis software | google angular | google docs | hibernate orm | javascript | microsoft excel | microsoft visio
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",atmospheric earth marine and space sciences teachers postsecondary,,51,4,15,Adjunct Instructor | Adjunct Professor | Assistant Professor | Associate Professor | Astronomy Professor | Atmospheric Sciences Professor | Climatology Professor | Climatology Teacher,mathematics | computers and electronics | engineering and technology | telecommunications,adobe acrobat | adobe after effects | adobe photoshop | esri arcgis software | google docs | microsoft excel | the mathworks matlab | learning management system lms
25-1052.00,"Chemistry Teachers, Postsecondary",chemistry teachers postsecondary,,32,4,15,Adjunct Chemistry Instructor | Adjunct Chemistry Professor | Adjunct Instructor | Analytical Chemistry Teacher | Assistant Professor | Associate Professor | Biochemistry Professor | Chemical Educator,mathematics | engineering and technology | computers and electronics | telecommunications,google docs | microsoft excel | learning management system lms | auto3dem | blackboard learn | calendar and scheduling software | ccp4 | collaborative editing software
25-1053.00,"Environmental Science Teachers, Postsecondary",environmental science teachers postsecondary,,24,4,15,Adjunct Professor | Assistant Professor | Associate Professor | College Faculty Member | College Professor | Conservation Educator | Conservation Science Teacher | Educator,mathematics | computers and electronics | engineering and technology | telecommunications,adobe acrobat | autodesk autocad | esri arcgis software | google docs | microsoft access | microsoft excel | learning management system lms | blackboard learn
25-1054.00,"Physics Teachers, Postsecondary",physics teachers postsecondary,,45,4,15,Acoustics Teacher | Adjunct Instructor | Adjunct Physics Instructor | Adjunct Physics Professor | Adjunct Professor | Aerodynamics Professor | Aerodynamics Teacher | Assistant Professor,mathematics | computers and electronics | engineering and technology | telecommunications,microsoft windows | autodesk autocad | c | c++ | google docs | microsoft excel | perl | the mathworks matlab
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",anthropology and archeology teachers postsecondary,,26,4,15,Adjunct Anthropology Instructor | Adjunct Anthropology Lecturer | Adjunct Instructor | Anthropology Adjunct Professor | Anthropology Department Chair | Anthropology Faculty Member | Anthropology Instructor | Anthropology Lecturer,computers and electronics | mathematics | telecommunications | engineering and technology,adobe acrobat | adobe creative cloud software | adobe illustrator | adobe photoshop | esri arcgis software | google docs | ibm spss statistics | microsoft access
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",area ethnic and cultural studies teachers postsecondary,,24,4,15,Adjunct Professor | African Studies Professor | American Studies Professor | Asian Studies Professor | Assistant Professor | Associate Professor | Black Studies Professor | College Faculty Member,computers and electronics | mathematics | telecommunications | engineering and technology,google docs | microsoft excel | microsoft windows | blackboard learn | calendar and scheduling software | collaborative editing software | course management system software | desire2learn lms software
25-1063.00,"Economics Teachers, Postsecondary",economics teachers postsecondary,,34,4,15,Accounting Lecturer | Adjunct Economics Instructor | Adjunct Economics Professor | Adjunct Professor | Agricultural Economics Professor | Agricultural Economics Teacher | Assistant Professor | Associate Professor,mathematics | computers and electronics | telecommunications | engineering and technology,facebook | google docs | microsoft access | microsoft excel | python | r | the mathworks matlab | learning management system lms
25-1064.00,"Geography Teachers, Postsecondary",geography teachers postsecondary,,22,4,15,Assistant Professor | Associate Professor | Cartography Professor | Cartography Teacher | College Faculty Member | College Professor | Cultural Geography Faculty Member | Geographic Information Systems Faculty Member (GIS Faculty Member),mathematics | computers and electronics | engineering and technology | telecommunications,adobe creative cloud software | esri arcgis software | google docs | ibm spss statistics | microsoft excel | mozilla firefox | the mathworks matlab | geographic information system gis systems
25-1065.00,"Political Science Teachers, Postsecondary",political science teachers postsecondary,,28,4,15,Adjunct Instructor | Adjunct Political Science Instructor | Adjunct Political Science Professor | Adjunct Professor | Assistant Professor | Associate Professor | College Faculty Member | College Professor,computers and electronics | mathematics | telecommunications | engineering and technology,c | google docs | microsoft excel | r | learning management system lms | blackboard learn | calendar and scheduling software | collaborative editing software
25-1066.00,"Psychology Teachers, Postsecondary",psychology teachers postsecondary,,39,4,15,Abnormal Psychology Teacher | Adjunct Instructor | Adjunct Professor | Adjunct Psychology Faculty Member | Adjunct Psychology Instructor | Adjunct Psychology Professor | Applied Psychology Professor | Applied Psychology Teacher,mathematics | computers and electronics | telecommunications | engineering and technology,google docs | ibm spss statistics | microsoft excel | r | sas | the mathworks matlab | learning management system lms | biomedical imaging resource analyze
25-1067.00,"Sociology Teachers, Postsecondary",sociology teachers postsecondary,,24,4,15,Adjunct Instructor | Adjunct Professor | Adjunct Sociology Professor | Assistant Professor | Associate Professor | College Faculty Member | College Professor | Comparative Sociology Professor,computers and electronics | mathematics | telecommunications | engineering and technology,google docs | ibm spss statistics | microsoft excel | r | sas | the mathworks matlab | learning management system lms | blackboard learn
25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",social sciences teachers postsecondary all other,,18,0,0,City Planning Teacher | College Teacher | Family Consumer Science Teacher | Foreign Service Teacher | Humanities Teacher | Industrial Arts Teacher | Labor Relations Teacher | Lecturer,,
25-1071.00,"Health Specialties Teachers, Postsecondary",health specialties teachers postsecondary,,125,4,15,A&P Instructor (Anatomy and Physiology Instructor) | Activity Therapy Teacher | Adjunct Clinical Instructor | Adjunct Instructor | Anatomy Teacher | Anesthesiology Teacher | Assistant Professor | Associate Professor,computers and electronics | mathematics | engineering and technology | telecommunications,google docs | ibm spss statistics | microsoft access | microsoft excel | sas | adobe presenter | articulate rapid e-learning studio | blackboard learn
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",nursing instructors and teachers postsecondary,,31,4,15,Adjunct Clinical Nursing Instructor | Adjunct Instructor | Adjunct Nursing Instructor | Advanced Nursing Professor | Assistant Professor | Associate Professor | CPR Instructor (Cardiopulmonary Resuscitation Instructor) | Clinical Instructor,mathematics | computers and electronics | telecommunications | engineering and technology,google docs | meditech software | microsoft excel | learning management system lms | blackboard learn | blackboard software | calendar and scheduling software | collaborative editing software
25-1081.00,"Education Teachers, Postsecondary",education teachers postsecondary,,34,4,15,Adjunct Education Professor | Adjunct Instructor | Adjunct Lecturer | Adult Basic Education Instructor | Assistant Professor | Associate Professor | College Professor | Continuing Education Instructor,mathematics | computers and electronics | telecommunications | engineering and technology,google docs | microsoft excel | sas | learning management system lms | blackboard learn | blackboard software | calendar and scheduling software | collaborative editing software
25-1082.00,"Library Science Teachers, Postsecondary",library science teachers postsecondary,,17,4,15,Assistant Professor | Associate Professor | Classification Instructor | College Faculty Member | College Professor | Film and Media Program Instructor | Information Science Professor | Instructor,computers and electronics | mathematics | telecommunications | engineering and technology,amazon elastic compute cloud ec2 | c++ | extensible markup language xml | google docs | javascript | microsoft excel | microsoft sharepoint | mysql
